Станція;Панелі;Панелі продаж $;Інвертор продаж $;АКБ продаж $;BMS $;Стійка $;Щит захисту продаж $;Кабель $;Монтаж поля $;Підключення $;Дахове кріплення $;Наземна конструкція $;Разом дах $;Разом дах грн;Разом земля $;Разом земля грн;Примітка
Гібридна 6 кВт;10 × LONGi BF 615 Вт;1196,30;1050;1780;0;0;250;160;360;250;250;600;5296,30;237698;5646,30;253406;Deye SUN-6K-SG05LP1-EU + 2 × Pro-C
Гібридна 10 кВт;17 × LONGi BF 615 Вт;2033,71;1810;1780;0;0;320;160;600;250;425;1020;7378,71;331157;7973,71;357860;Deye 10 кВт LV + 2 × Pro-C
Гібридна 15 кВт HV;25 × LONGi BF 615 Вт;2990,75;2090;4450;800;420;350;192;900;250;625;1500;13067,75;586481;13942,75;625751;Deye SUN-15K-SG01HP3-EU-AM2 + 5 × BOS-G Pro
Гібридна 20 кВт HV;33 × LONGi BF 615 Вт;3947,79;2650;4450;800;420;350;240;1200;250;825;1980;15132,79;679160;16287,79;730996;Deye SUN-20K-SG01HP3-EU-AM2 + 5 × BOS-G Pro
Гібридна 30 кВт HV;49 × LONGi BF 615 Вт;5861,87;2900;4450;800;420;500;320;1800;250;1225;2940;18526,87;831486;20241,87;908455;Deye SUN-30K-SG01HP3-EU-BM3 + 5 × BOS-G Pro
Гібридна 50 кВт HV;82 × LONGi BF 615 Вт;9809,66;4350;4450;800;420;600;480;3000;250;2050;4920;26209,66;1176290;29079,66;1305095;Deye SUN-50K-SG01HP3-EU-BM3 + 5 × BOS-G Pro
Мережева Solis 30 кВт;49 × LONGi BF 615 Вт;5861,87;1350;0;0;0;300;320;1800;250;1225;2940;11106,87;498476;12821,87;575446;Solis S6-GC3P30K03-ND + Wi-Fi без окремої ціни
